,data,label
0,two effects after being vaccinated against covid 19 1 sleep well on the first night amp second 2 on the first night all night,1
1,mostpop shortly after the vaccination i felt a little pain in my arm and my head felt very heavy with,-1
2,causes of the emergence of covid 19 vaccine side effects,0
3,min if i have a headache for two days it goes away i don t know the effect of the covid 19 vaccine last saturday,0
4,there are side effects 23 people died after injecting the covid vaccine,0
5,what a peat but i laughed when you chatted with your friends last bubble what was his inspiration for hidayah magazine,1
6,vaksincovid19 effectvaksin vaksincorona vaksingratis vaksinmandiri shorts,0
7,most popular of the 1 million people who received the covid 19 vaccine there were 42 cases with serious side effects the effect is,1
8,what is covid arm side effects of corona virus vaccines that attack the skin tribun batam corona korona,0
9,expert no serious side effects of covid 19 vaccine in japan,1
10,covid arm facts side effects after the covid 19 vaccine is it dangerous via,-1
11,a total of 200 traders at the simple market bandung city began to undergo the covid 19 vaccination saturday 27 2 2021,0
12,sinovac covid 19 vaccine side effects recipients will feel this after vaccine injected,0
13,the news about the side effects of vaccines plus the phobia of needles made me think twice about getting vaccinated,0
14,know the side effects of the covid 19 vaccine named covid arm what is it and how to overcome it,0
15,covid vaccine trends in the coming years single dose vaccination can be stored at normal refrigerator temperature without the need,1
16,many people will experience mild side effects after the covid 19 vaccine to overcome this experts suggest,1
17,jakarta dozens of journalists are reported to have been hospitalized after being injected with the covid 19 vaccine they are said to have experienced,1
18,beware of the side effects of the kipi covid 19 vaccine what is it like health,0
19,after the covid 19 vaccine injection on friday there were five media crews who were observed because they felt complaints about the effects of,0
20,people are still worrying about the side effects of the covid vaccine even though i ve had the covid vaccine 2 times but only b aka,0
21,have you guys ever been vaccinated against covid how does it feel are there any side effects please need enlightenment,0
22,unlike other vaccines the covid 19 vaccine is relatively new so many are afraid before being injected then,-1
23,pfizer vaccine side effects for covid 19 survivors one of them is chills,0
24,side effects of the pfizer vaccine for covid 19 survivors one of them chills,0
25,the covid 19 vaccine can also trigger swollen lymph nodes under the arm which is similar to the symptoms of cancer,0
26,shortly after the vaccination i felt a little pain in my arm and my head felt very heavy with nausea think,-1
27,first the nyinyir ers asked the president amp officials told me to be a guinea pig for the covid vaccine for fear of,1
28,9 days after the stage 1 covid vaccine thank god there was no effect no no on vaccines,0
29,not only indonesia but all countries are trying to rise from the effects of this covid 19 pandemic so don t forget,0
30,riaunew the vaccine has been proven not to cause serious effects mr jokowi has been vaccinated first and we are popular,1
31,husband finished the covid vaccine at 10 in the morning afternoon home from work how about vaccines is there an effect that is felt or not,0
32,hoaks of covid 19 vaccine side effects appear check out expert explanations,0
33,ministry of health denies reports of dozens of journalists spread after participating in covid 19 vaccination he admitted that there were indeed five early,1
34,explanation of vaccination side effects and covid 19 vaccine issues contains chips fact check,0
35,explanation of vaccination side effects and covid 19 vaccine issues contains chip,0
36,video the side effects of the covid 19 vaccine will disappear in maximum 2 days,0
37,side effects of the covid 19 vaccine the body can feel the covid arm is it dangerous this is the explanation,-1
38,video the side effects of the covid 19 vaccine will disappear in 2 days maximum the head of komnas kipi hindra irawan said the effect,0
39,covid 19 vaccine can cause covid arm side effects is it dangerous for the skin covid,-1
40,an asn in purwakarta dizziness and vomiting after injection of the covid 19 vaccine vaccine effect,0
41,the effect of the covid vaccine it s sane to be stressed,0
42,hoax two men s faces swollen due to side effects of moderna covid 19 vaccine via,-1
43,there are no clinical symptoms that indicate unfavorable side effects then they are allowed to go home activities i,0
44,after undergoing vaccination some people may experience side effects such as fever what if t,0
45,the covid 19 vaccine can actually cause an effect called the covid arm what is covid arm and how do you,0
46,there are no side effects after receiving the covid 19 vaccine a sign that the immune system is not working,0
47,look at what kind of effect is there any need for supporters of the covid 19 vaccine to compare it with nasik is it really,1
48,is there an explanation for the effects of the covid 19 vaccine i forgot to ask yesterday base masle looking for articles,-1
49,covid ci vaccine i hope there are no side effects,0
50,so far the effect of the first stage of the covid vaccine that my mother has received is sleepy seeing me sleeping since 7 pm,1
51,expert covid 19 vaccine safe for elderly 80 years old without side effects,1
52,photo of two men s swollen faces claimed to be side effects of moderna s covid 19 vaccine this is a fact check,0
53,photo of two men s swollen faces claimed to be side effects of moderna s covid 19 vaccine check the facts,0
54,pfizer learns the effects of the third covid 19 vaccine dose vaccin virus corona covid 19 pfizer biontech,0
55,tf has anyone been vaccinated against covid what are the effects after the injection,0
56,until now there have been no reports of moderate or severe effects felt by participants after getting the vaccine,0
57,kly journalist injected with covid 19 vaccine no side effects,0
58,kly journalist injected with covid 19 vaccine no side effects vaccination starts at 08 00 wib participants must be,0
59,if pain and fever relievers can reduce the side effects of the vaccine could there be an effect on the effectiveness of,0
60,10 38 beritasonora if painkillers and fever reduce the side effects of the vaccine could there be an effect,0
61,according to bahrul there has been no explanation from the government regarding the side effects of the covid 19 vaccination for the diff,0
62,californiacoronavirus mutating immunity covid 19 vaccine more dangerous he said between the english variant and,-1
63,a study of 40 000 healthcare workers who had received the pfizer vaccine found that one in three people,0
64,the effect of vaccine injection suarjaya 3 times lighter when exposed to covid,0
65,experts convince the covid 19 vaccine side effects are not heavy tempogaya,1
66,fact check photo of two men s swollen faces claimed to be a side effect of moderna s covid 19 vaccine this is a fact check,0
67,experts at itagi confirm that the side effects of the covid 19 vaccine are mild no one has been treated in,1
68,the side effects of vaccines are like that in general don t you ever run when you were in school right,1
69,some of the effects of the covid vaccine experienced by friends sleepiness auhhh it s not just the vaccine effect that makes me sleepy and sluggish i hope i m fine,1
70,effects after the covid vaccine 10 hours which i think 1 easily hungry and thirsty often eat and drink water as much as,1
71,the effect of the second covid vaccine is normal the first time it s hot and cold it s the same with nausea and then,1
