,data,label
0,efek vaksin covid 19 1 tidur pulas malam pertama amp dua 2 malam pertama panjang malam,1
1,mostpop tak lama usai vaksinasi rasa sedikit nyeri lengan kepala asa sangat berat serta,-1
2,sebab muncul efek samping vaksin covid 19,0
3,min kalo kepala sakit haringa ilang ilang ga tau efek vaksin covid 19 hari sabtu kemarin,0
4,efek samping 23 orang tinggal usai suntik vaksin covid,0
5,emang dasar gabut ngakak sih pas bubble temen chat lo akhir inspirasi majalah hidayah apa,-1
6,vaksincovid19 efekvaksin vaksincorona vaksingratis vaksinmandiri shorts,0
7,populer 1 juta orang terima vaksin covid 19 dapat 42 kasus efek samping serius efek sa,1
8,apa covid arm efek samping vaksin virus corona serang kulit tribun batam corona korona,0
9,pakar lihat ada efek samping serius vaksin covid 19 jepang,-1
10,fakta covid arm efek samping vaksin covid 19 bahaya via,0
11,fakta covid arm efek samping vaksin covid 19 bahaya lewat,-1
12,banyak 200 dagang pasar sederhana kota bandung mulai jalan vaksinasi covid 19 sabtu 27 2 2021,1
13,efek samping vaksin covid 19 sinovac terima rasa ini usai suntik vaksin,0
14,bagai kabar soal efek samping vaksin tambah fobia jarum suntik buat pikir kali vaksin,0
15,kenal efek samping vaksin covid 19 nama covid arm apa dan bagaimana atas,0
16,trend vaksin covid tahun2 datang vaksinasi dosis tunggal simpan suhu kulkas biasa perlu,-1
17,banyak orang alami efek samping ringan vaksin covid 19 atas ahli saran,1
18,jakarta puluh wartawan kabar masuk rumah sakit usai suntik vaksin covid 19 sebut mengalammi,1
19,waspada efek samping kipi vaksin covid 19 apa sehat,1
20,pasca sunti vaksin covid 19 jumat dapat lima awak media observasi rasa keluh efek,0
21,orang orang pada ngeributin efek samping vaksin covid padahal w udah vaksin covid 2 kali b aja alias,0
22,guys udah yg pernah vaksin covid gimana rasa efek samping ga sih please butuh cerah benta,1
23,beda vaksin vaksin covid 19 golong baru banyak rasa takut suntik lant,1
24,efek samping vaksin pfizer sintas covid 19 salah satu gigil,0
25,vaksin covid 19 bisa picu bengkak kelenjar getah bening bawah lengan mirip gejala kanker,0
26,tak lama usai vaksinasi rasa sedikit nyeri lengan kepala asa sangat berat serta mual pik,-1
27,dulu the nyinyir ers minta presiden amp jabat suruh jadi kelinci coba vaksin covid takut,-1
28,9 hari vaksin covid tahap 1 alhamdulilah gak efek apa apa yok vaksin yok,0
29,bukan indonesia semua negara tengah upaya bangkit efek pandemi covid 19 makanya jangan tak,0
30,riaunew vaksin udah bukti akibat efek berat pak jokowi udah vaksin dluan kita raky,-1
31,suami habis vaksin covid tadi jam 10 pagi maghrib pulang kantor gimana vaksin efek dirasain,0
32,hoaks efek samping vaksin covid 19 muncul simak jelas pakar,0
33,kemenkes bantah kabar puluh wartawan kapar usai ikut vaksinasi covid 19 aku memang dapat lima awa,0
34,jelas soal efek samping vaksinasi isu vaksin covid 19 isi chip cek fakta,1
35,jelas soal efek samping vaksinasi isu vaksin covid 19 isi chip,1
36,video efek samping vaksin covid 19 hilang paling lama 2 hari,-1
37,efek samping vaksin covid 19 tubuh rasa covid arm bahaya jelas,1
38,video efek samping vaksin covid 19 hilang paling lama 2 hari ketua komnas kipi hindra irawan kata efe,-1
39,vaksin covid 19 timbul efek samping covid arm bahaya kulit covid,0
40,orang asn purwakarta pusing muntah suntik vaksin covid 19 efek vaksin,0
41,efek vaksin covid waras jadi stress,0
42,hoax wajah pria bengkak efek samping vaksin covid 19 moderna via,1
43,ada gejala klinis tunjuk efek samping kurang baik lanjut boleh pulang giat i,-1
44,habis jalan vaksinasi mungkin beberapa orang yang alami efek samping demam bagaimana t,0
45,vaksin covid 19 nyata timbul efek sebut covid arm apa covid arm bagaimana men,1
46,ada efek samping terima vaksin covid 19 tanda sistem kebal kerja,0
47,tengok lah jenis efek mcm mane ke patut dukung vaksin covid 19 compare dgn nasik kahkahkahkahkah,0
48,jelas efek vaksin covid 19 si kemarin lupa tanya dasar masle nyari artikel,1
49,vaksin covid ci mudah ga efek samping,1
50,so far efek vaksin covid tahap satu udah terima nyokap gw ngantuk nyokap gw tidur dr jam 7 malem,1
51,pakar vaksin covid 19 aman lansia 80 tahun efek samping,0
52,foto wajah pria bengkak klaim efek samping vaksin covid 19 moderna cek fakta,0
53,pfizer ajar efek dosis vaksin covid 19 tiga vaksin virus corona covid 19 pfizer biontech,0
54,tf yg udah pernah vaksin covid efek suntik apa yg dirasaiin,0
55,nan,0
56,hingga ini ada lapor efek sedang maupun berat rasa serta dapat vaksin terse,0
57,wartawan kly suntik vaksin covid 19 tak efek samping,0
58,wartawan kly suntik vaksin covid 19 tak efek samping vaksinasi mulai pukul 08 00 wib serta menja,0
59,obat reda nyeri demam kurang efek samping vaksin mungkin pengaruh efektivitas,-1
60,10 38 beritasonora obat reda nyeri demam kurang efek samping vaksin mungkin pengaruh,0
61,bahrul ada jelas perintah perihal efek samping vaksinasi covid 19 kelompok dif,1
62,virus corona california mutasi kebal vaksin covid 19 makin bahaya kata varian inggris d,-1
63,buah teliti 40 000 tugas sehat telah terima vaksin pfizer temu satu tiga oran,1
64,efek suntik vaksin suarjaya 3 kali lebih ringan bila papar covid,0
65,pakar yakin efek samping vaksin covid 19 berat tempogaya,0
66,cek fakta foto wajah pria bengkak klaim efek samping vaksin covid 19 moderna cek fakta,0
67,ahli itagi tegas efek samping vaksin covid 19 sifat ringan ada orang sampai rawat,1
68,efek samping vaksin memang itu umum jangan2 waktu sekolah dulu lari pas,-1
69,bbrp efek vaksin covid yg alami teman antuk aduhhh bukan efek vaksin aja kerja gua ngantuk pelor moga hamba baik2,1
70,efek di vaksin covid 10 jam gue rasa 1 gampang laper haus sering makan minum air sebo,1
71,efek vaksin covid yg dua biasa aja pas yg pertama kali panas dingin sama mual trus,-1
72,beberapa kenal aku bagi org vaksin covid mrk baik2 sana ada beberapa yg efek samping ringan k,1
73,selasa minggu lalu dokter sakit gua ga praktek positf covid selasa udah lepas infus udah b,-1
74,itagi efek samping sinovac astrazeneca sy cukup ringan tdk yg masuk rumah sakit sampe tinggal,1
75,pati sesuai jadwal program vaksinasi covid 19 sebentar akan sasar warga,0
76,jadi kamu dapat vaksin covid 19 biasa muncul beberapa gejala efek samping umum con,-1
77,dr steaven jubir satgas covid 19 sulut jelas eua vaksin astrazeneca benar sebut,1
78,suntik vaksin covid 19 pria alami efek bikin merinding,1
79,efek samping vaksin covid 19 lansia jangan abai,0
80,jelas efek samping vaksin covid 19 lansia jadwal 14 april 2021 balikpapan,1
81,mama takut banget vaksin covid 19 terus aku tanya dulu pas vaksin meningitis takut ga engga kata soal ga,-1
82,efek samping vaksin covid dua gak senang,-1
