,data,label
0,dua efek setelah divaksin covid 19 1 tidur pulas di malam pertama amp kedua 2 di malam pertama sepanjang malam,1
1,mostpop tak lama usai vaksinasi saya merasa ada sedikit nyeri di lengan dan kepala terasa sangat berat disertai,-1
2,penyebab munculnya efek samping vaksin covid 19,0
3,min kalo saya kepala sakit dua haringa ilang ilang ga taunya efek vaksin covid 19 hari sabtu kemarin,0
4,ada efek samping 23 orang meninggal usai suntik vaksin covid,0
5,emang dasar gabut tapi ngakak sih pas bubble temen chat lo terakhir inspirasi dia majalah hidayah apa,-1
6,vaksincovid19 efekvaksin vaksincorona vaksingratis vaksinmandiri shorts,0
7,terpopuler dari 1 juta orang yang menerima vaksin covid 19 terdapat 42 kasus dengan efek samping serius efek sa,1
8,apa itu covid arm efek samping vaksin virus corona yang menyerang kulit tribun batam corona korona,0
9,pakar tidak terlihat adanya efek samping serius vaksin covid 19 di jepang,-1
10,fakta covid arm efek samping setelah vaksin covid 19 berbahayakah via,-1
11,fakta covid arm efek samping setelah vaksin covid 19 berbahayakah lewat,-1
12,sebanyak 200 pedagang di pasar sederhana kota bandung mulai menjalani vaksinasi covid 19 sabtu 27 2 2021,1
13,efek samping vaksin covid 19 sinovac penerima akan merasakan hal ini usai disuntik vaksin,0
14,berbagai kabar soal efek samping vaksin ditambah fobia jarum suntik membuat saya berpikir dua kali untuk divaksin,0
15,mengenal efek samping vaksin covid 19 bernama covid arm apa itu dan bagaimana mengatasinya,0
16,trend vaksin covid di tahun2 mendatang vaksinasi dosis tunggal bisa disimpan di suhu kulkas biasa tanpa perlu,1
17,banyak orang akan mengalami efek samping ringan setelah vaksin covid 19 untuk mengatasinya para ahli menyarankan,1
18,jakarta puluhan wartawan dikabarkan masuk rumah sakit usai disuntik vaksin covid 19 mereka disebutkan mengalammi,0
19,waspada efek samping kipi vaksin covid 19 seperti apa kesehatan,1
20,pasca penyuntikan vaksin covid 19 pada jumat terdapat lima awak media yang diobservasi karena merasa keluhan efek,0
21,orang orang masih pada ngeributin efek sampingnya vaksin covid padahal w udah vaksin covid 2 kali tapi b aja alias,0
22,guys udah ada yg pernah di vaksin covid gimana rasanya ada efek sampingnya ga sih please butuh pencerahan benta,0
23,berbeda dengan vaksin lain vaksin covid 19 tergolong baru sehingga banyak yang merasa takut sebelum disuntik lant,-1
24,efek samping vaksin pfizer bagi penyintas covid 19 salah satunya menggigil,0
25,vaksin covid 19 juga bisa memicu pembengkakan kelenjar getah bening di bawah lengan yang mirip dengan gejala kanker,0
26,tak lama usai vaksinasi saya merasa ada sedikit nyeri di lengan dan kepala terasa sangat berat disertai mual pik,-1
27,dulu the nyinyir ers minta presiden amp pejabat suruh jadi kelinci percobaan vaksin covid karena takut,-1
28,9 hari setelah vaksin covid tahap 1 alhamdulilah gak ada efek apa apa yok pada vaksin yok,1
29,bukan hanya indonesia tapi semua negara tengah berupaya bangkit dari efek pandemi covid 19 ini makanya jangan tak,0
30,riaunew itu vaksin udah terbukti tidak mengakibatkan efek berat pak jokowi udah divaksin dluan dan kita raky,1
31,suami habis vaksin covid tadi jam 10 pagi maghrib pulang kantor gimana vaksin ada efek yang dirasain nggak,0
32,hoaks efek samping vaksin covid 19 bermunculan simak penjelasan pakar,0
33,kemenkes bantah kabar puluhan wartawan terkapar usai ikut vaksinasi covid 19 dia mengakui memang terdapat lima awa,1
34,penjelasan soal efek samping vaksinasi dan isu vaksin covid 19 berisi chip cek fakta,0
35,penjelasan soal efek samping vaksinasi dan isu vaksin covid 19 berisi chip,0
36,video efek samping vaksin covid 19 akan hilang paling lama 2 hari,0
37,efek samping vaksin covid 19 tubuh bisa merasakan covid arm apakah berbahaya ini penjelasannya,-1
38,video efek samping vaksin covid 19 akan hilang paling lama 2 hari ketua komnas kipi hindra irawan mengatakan efe,1
39,vaksin covid 19 bisa timbulkan efek samping covid arm berbahayakah bagi kulit covid,-1
40,seorang asn di purwakarta pusing dan muntah setelah disuntik vaksin covid 19 efek vaksin,0
41,efek vaksin covid waras jadi stress,0
42,hoax wajah dua pria membengkak karena efek samping vaksin covid 19 moderna via,0
43,tidak ada gejala klinis yang menunjukkan efek samping kurang baik maka selanjutnya diperbolehkan pulang kegiatan i,0
44,sehabis menjalani vaksinasi mungkin beberapa orang ada yang mengalami efek samping seperti demam bagaimana jika t,0
45,vaksin covid 19 ternyata bisa menimbulkan efek yang disebut dengan covid arm apa itu covid arm dan bagaimana men,1
46,tidak ada efek samping setelah terima vaksin covid 19 tanda sistem kekebalan tidak bekerja,0
47,tengok lah jenis efek mcm mane ada ke patut pendukung vaksin covid 19 compare dgn nasik kahkahkahkahkah,1
48,ada penjelasan efek dari vaksin covid 19 nggak si kemarin lupa tanya dasar masle nyari artikel,0
49,vaksin covid ci mudahan ga ada efek sampingnya,0
50,so far efek vaksin covid tahap satu yang udah diterima nyokap gw adalah ngantuk nyokap gw tidur dr jam 7 malem,1
51,pakar vaksin covid 19 aman bagi lansia 80 tahun tanpa efek samping,1
52,foto wajah dua pria membengkak diklaim efek samping vaksin covid 19 moderna ini cek faktanya,0
53,pfizer pelajari efek dosis vaksin covid 19 ketiga vaksin virus corona covid 19 pfizer biontech,0
54,tf ada yg udah pernah di vaksin covid efek setelah suntik apa yg dirasaiin,0
55,hingga saat ini belum ada laporan efek sedang maupun berat yang dirasakan peserta setelah mendapatkan vaksin terse,0
56,wartawan kly disuntik vaksin covid 19 tak ada efek samping,0
57,wartawan kly disuntik vaksin covid 19 tak ada efek samping vaksinasi dimulai pukul 08 00 wib peserta harus menja,0
58,jika obat pereda nyeri dan demam bisa mengurangi efek samping vaksin mungkinkah ada pengaruh terhadap efektivitas,0
59,10 38 beritasonora jika obat pereda nyeri dan demam bisa mengurangi efek samping vaksin mungkinkah ada pengaruh,0
60,menurut bahrul belum ada penjelasan dari pemerintah perihal efek samping dari vaksinasi covid 19 bagi kelompok dif,0
61,virus corona california bermutasi kebal vaksin covid 19 semakin berbahaya dia mengatakan antara varian inggris d,-1
62,sebuah penelitian terhadap 40 000 petugas kesehatan yang telah menerima vaksin pfizer menemukan satu dari tiga oran,0
63,efek suntik vaksin suarjaya 3 kali lebih ringan bila terpapar covid,0
64,pakar yakinkan efek samping vaksin covid 19 tidak berat tempogaya,0
65,cek fakta foto wajah dua pria membengkak diklaim efek samping vaksin covid 19 moderna ini cek faktanya,0
66,para ahli di itagi menegaskan efek samping vaksin covid 19 bersifat ringan tidak ada orang yang sampai dirawat di,1
67,efek samping dari vaksin memang seperti itu pada umumnya jangan2 anda waktu sekolah dulu lari ya pas,1
68,bbrp efek vaksin covid yg dialami teman mengantuk aduhhh bukan efek vaksin aja kerjaan gua ngantuk dan pelor semoga hamba baik2 saja,1
69,efek setelah di vaksin covid 10 jam yang gue rasa 1 gampang laper dan haus sering makan dan minum air sebo,1
70,efek vaksin covid yg kedua biasa aja pas yg pertama kali panas dingin sama mual trus,-1
71,beberapa kenalan aku sebagian org sudah vaksin covid dan mrk baik2 sana tapi ada beberapa yg efek samping ringan k,1
72,selasa minggu lalu dokter penyakit dalam gua ga praktek karena positf covid selasa ini udah lepas infus dan udah b,1
73,itagi efek samping sinovac dan astrazeneca menurut sy cukup ringan tdk ada yg masuk rumah sakit sampe meninggal,1
74,pati sesuai jadwal program vaksinasi covid 19 sebentar lagi akan menyasar kepada warga,0
75,jadi setelah kamu mendapatkan vaksin covid 19 biasanya akan muncul beberapa gejala atau efek samping umum con,-1
76,dr steaven jubir satgas covid 19 sulut menjelaskan dalam eua vaksin astrazeneca sebenarnya telah disebutkan bahwa,0
77,disuntik vaksin covid 19 pria ini alami efek yang bikin merinding,0
78,efek samping vaksin covid 19 pada lansia jangan diabaikan,0
