,data
0,"Dua efek setelah  divaksin Covid-19:

1. Tidur pulas di malam pertama &amp; kedua.
2. Di malam pertama, sepanjang malam… https://t.co/PWjIq62Bj6"
1,"#mostpop ""Tak lama usai vaksinasi, saya merasa ada sedikit nyeri di lengan dan kepala terasa sangat berat disertai… https://t.co/TGjheuIoQe"
2,Penyebab Munculnya Efek Samping Vaksin Covid-19 https://t.co/etQlCNZije https://t.co/5eAs9WjQgu
3,"@balakarsa Min kalo saya kepala sakit dua haringa ilang ilang,ga taunya efek vaksin  covid 19 hari sabtu kemarin.."
4,"Ada Efek Samping, 23 Orang Meninggal Usai Suntik Vaksin Covid https://t.co/n9GYBubgJa"
5,"@hydeverse Emang dasar gabut. 
Tapi ngakak sih pas bubble temen chat lo terakhir. Inspirasi dia majalah Hidayah apa… https://t.co/WbOaq1zMM7"
6,"https://t.co/o7tMQpMhT1

#vaksincovid19 #efekvaksin #vaksincorona #vaksingratis #vaksinmandiri #shorts… https://t.co/5fwsxvzk20"
7,"[Terpopuler] Dari 1 juta orang yang menerima vaksin Covid-19, terdapat 42 kasus dengan efek samping serius. Efek sa… https://t.co/b8h5cI56Cl"
8,#Apa Itu Covid Arm? Efek Samping Vaksin Virus Corona yang Menyerang Kulit - Tribun Batam #Corona #Korona
9,Pakar: Tidak Terlihat Adanya Efek Samping Serius Vaksin Covid-19 di Jepang https://t.co/Tgn5aeXp9V
10,"Fakta Covid Arm, Efek Samping Setelah Vaksin Covid-19, Berbahayakah? https://t.co/gGvcA0r0vH via @tribunjualbeli"
11,"Fakta Covid Arm, Efek Samping Setelah Vaksin Covid-19, Berbahayakah? https://t.co/76GZ8r9WjQ lewat @tribunjualbeli"
12,"Sebanyak  200 pedagang di Pasar Sederhana, Kota Bandung mulai menjalani vaksinasi Covid-19, Sabtu (27/2/2021).… https://t.co/kuE8upc8f3"
13,"Efek Samping Vaksin Covid-19 Sinovac, Penerima Akan Merasakan Hal ini Usai Disuntik Vaksin

https://t.co/jQ7LCs6gc3… https://t.co/Iwe2s9r1bI"
14,Berbagai kabar soal efek samping vaksin ditambah fobia jarum suntik membuat saya berpikir dua kali untuk divaksin.… https://t.co/lexDmzeNXe
15,"Mengenal Efek Samping Vaksin Covid-19 Bernama Covid Arm, Apa Itu dan Bagaimana Mengatasinya ?

https://t.co/7S8eHVJ1J9"
16,"Trend vaksin Covid di tahun2 mendatang:
- vaksinasi dosis tunggal.
- bisa disimpan di suhu kulkas biasa tanpa perlu… https://t.co/jD4V6sYlhQ"
17,"Banyak orang akan mengalami efek samping ringan setelah vaksin COVID-19. Untuk mengatasinya, para ahli menyarankan… https://t.co/9UTM4whvHU"
18,JAKARTA - Puluhan wartawan dikabarkan masuk rumah sakit usai disuntik vaksin covid 19. Mereka disebutkan mengalammi… https://t.co/PSfVNga9gZ
19,"Waspada Efek Samping ‘KIPI’ Vaksin COVID-19, Seperti Apa? #Kesehatan https://t.co/HYJLsZMWEA https://t.co/mGlPppS8SJ"
20,"""Pasca-penyuntikan vaksin Covid-19 pada Jumat, terdapat lima awak media yang diobservasi karena merasa keluhan efek… https://t.co/i1zmvIoJsy"
21,Orang orang masih pada ngeributin efek sampingnya vaksin covid padahal w udah vaksin covid 2 kali tapi B aja alias… https://t.co/WC4gp3Ahd9
