,data,label
0,effect vaccin covid 19 1 sleep night amp second 2 night night,0
1,mostpop short vaccin felt littl pain arm head felt heavi,0
2,caus emerg covid 19 vaccin effect,0
3,min headach day goe away don t know effect covid 19 vaccin saturday,0
4,effect 23 peopl die inject covid vaccin,0
5,peat laugh chat friend bubbl inspir hidayah magazin,1
6,vaksincovid19 effectvaksin vaksincorona vaksingrati vaksinmandiri short,0
7,popular 1 million peopl receiv covid 19 vaccin 42 case effect effect,1
8,covid arm effect corona virus vaccin attack skin tribun batam corona korona,0
9,expert effect covid 19 vaccin japan,0
10,covid arm fact effect covid 19 vaccin danger,0
11,total 200 trader simpl market bandung citi began undergo covid 19 vaccin saturday 27 2 2021,0
12,sinovac covid 19 vaccin effect recipi feel vaccin inject,0
13,news effect vaccin plus phobia needl think twice get vaccin,0
14,know effect covid 19 vaccin name covid arm overcom,0
15,covid vaccin trend come year singl dose vaccin store normal refriger temperatur need,1
16,peopl experi mild effect covid 19 vaccin overcom expert suggest,1
17,jakarta dozen journalist report hospit inject covid 19 vaccin said experienc,0
18,bewar effect kipi covid 19 vaccin like health,0
19,covid 19 vaccin inject friday media crew observ felt complaint effect,-1
20,peopl worri effect covid vaccin ve covid vaccin 2 time b aka,0
21,guy vaccin covid feel effect need enlighten,0
22,unlik vaccin covid 19 vaccin relat new afraid inject,-1
23,pfizer vaccin effect covid 19 survivor chill,0
24,effect pfizer vaccin covid 19 survivor chill,0
25,covid 19 vaccin trigger swollen lymph node arm similar symptom cancer,0
26,short vaccin felt littl pain arm head felt heavi nausea think,0
27,nyinyir er ask presid amp offici told guinea pig covid vaccin fear,0
28,9 day stage 1 covid vaccin thank god effect vaccin,0
29,indonesia countri tri rise effect covid 19 pandem don t forget,0
30,riaunew vaccin proven caus effect mr jokowi vaccin popular,1
31,husband finish covid vaccin 10 morn afternoon home work vaccin effect felt,0
32,hoak covid 19 vaccin effect appear check expert explan,0
33,ministri health deni report dozen journalist spread particip covid 19 vaccin admit earli,0
34,explan vaccin effect covid 19 vaccin issu contain chip fact check,0
35,explan vaccin effect covid 19 vaccin issu contain chip,0
36,video effect covid 19 vaccin disappear maximum 2 day,0
37,effect covid 19 vaccin bodi feel covid arm danger explan,0
38,video effect covid 19 vaccin disappear 2 day maximum head komna kipi hindra irawan said effect,0
39,covid 19 vaccin caus covid arm effect danger skin covid,0
40,asn purwakarta dizzi vomit inject covid 19 vaccin vaccin effect,0
41,effect covid vaccin s sane stress,0
42,hoax men s face swollen effect moderna covid 19 vaccin,0
43,clinic symptom indic unfavor effect allow home activ,0
44,undergo vaccin peopl experi effect fever t,0
45,covid 19 vaccin actual caus effect call covid arm covid arm,0
46,effect receiv covid 19 vaccin sign immun system work,0
47,look kind effect need support covid 19 vaccin compar nasik,1
48,explan effect covid 19 vaccin forgot ask yesterday base masl look articl,-1
49,covid ci vaccin hope effect,0
50,far effect stage covid vaccin mother receiv sleepi see sleep 7 pm,1
51,expert covid 19 vaccin safe elder 80 year old effect,1
52,photo men s swollen face claim effect moderna s covid 19 vaccin fact check,0
53,photo men s swollen face claim effect moderna s covid 19 vaccin check fact,0
54,pfizer learn effect covid 19 vaccin dose vaccin virus corona covid 19 pfizer biontech,0
55,tf vaccin covid effect inject,0
56,report moder sever effect felt particip get vaccin,0
57,kli journalist inject covid 19 vaccin effect,0
58,kli journalist inject covid 19 vaccin effect vaccin start 08 00 wib particip,0
59,pain fever reliev reduc effect vaccin effect effect,0
60,10 38 beritasonora painkil fever reduc effect vaccin effect,0
61,accord bahrul explan govern effect covid 19 vaccin diff,0
62,californiacoronavirus mutat immun covid 19 vaccin danger said english variant,0
63,studi 40 000 healthcar worker receiv pfizer vaccin found peopl,0
64,effect vaccin inject suarjaya 3 time lighter expos covid,0
65,expert convinc covid 19 vaccin effect heavi tempogaya,0
66,fact check photo men s swollen face claim effect moderna s covid 19 vaccin fact check,0
67,expert itagi confirm effect covid 19 vaccin mild treat,1
68,effect vaccin like general don t run school right,1
69,effect covid vaccin experienc friend sleepi auhhh s vaccin effect make sleepi sluggish hope m fine,1
70,effect covid vaccin 10 hour think 1 easili hungri thirsti eat drink water,0
71,effect second covid vaccin normal time s hot cold s nausea,-1
72,acquaint peopl vaccin covid mild effect k,1
73,tuesday intern medicin doctor didn t practic posit covid tuesday ve iv ve,0
74,itagi sinovac astrazeneca effect opinion mild goe hospit die,1
75,pati accord schedul covid 19 vaccin program soon target resid,0
76,covid 19 vaccin usual general symptom effect appear con,-1
77,dr steaven spokesman covid 19 task forc north sulawesi explain eua astrazeneca vaccin actual state,0
78,inject covid 19 vaccin man experi goosebump,0
79,effect covid 19 vaccin elder don t ignor,0
80,explan effect covid 19 vaccin elder schedul april 14 2021 balikpapan,0
81,m scare covid 19 vaccin ask afraid mening vaccin don t doesn t,-1
82,effect second covid vaccin fun right,1
83,final got second dose covid 19 vaccin alhamdulillah s list effect far,1
84,effect covid 19 vaccin explan fitphonel 15 00 wib stayfitforlif,0
85,moscow vaccin covid 19 dose sunday 28 3 russian presid vladimir putin admit have s,0
86,brother actual smart s lazi read post funni s okay b,1
87,far implement covid 19 vaccin gone smooth problem caus effect vaccin,1
88,effect normal effect covid 19 vaccin impact,1
89,effect astrazeneca s covid 19 vaccin indonesia,0
90,covid vaccin worri effect vaccin father s bodi turn m weak hahahaha,-1
91,administr astrazeneca covid 19 vaccin north sulawesi temporarili suspend report effect,0
92,come effect covid vaccin indonesia weird huh suggest,-1
93,astrazeneca s covid 19 vaccin benefit effect itagi call astrazen vaccin,0
94,covid vaccin effect review limp bodi weak muscl weak helpless sleepi appar effect,-1
95,effect covid vaccin said horni s hilari,0
96,don t feel effect covid 19 vaccin mean vaccin doesn t work,-1
97,anita explain vaccin circul test process greater benefit,1
98,feel effect covid 19 vaccin doesn t mean vaccin doesn t work s explan,-1
99,share inform effect covid 19 vaccin,0
100,idntimesinfograph effect solv read articl,0
101,idntimesinfograph turn covid 19 vaccin stay disciplin health protocol,0
102,receiv inject covid 19 vaccin natur feel effect effect read selen,0
103,kremlin vladimir putin refus appear camera covid 19 vaccin alleg have effect,0
104,jakarta spokesperson covid 19 vaccin ministri health siti nadia tarmizi said,0
105,accord bodi respond vaccin fever ach weak,-1
106,ladi explain sore effect vaccin normal etc mother said knew,1
107,read buibu kulwap group morn make annoy 1 mother covid vaccin schedul offic afraid ef,-1
108,alhamdulillah elder enthusiast vaccin program start,0
109,effect inject time sore mening umrah week covid vaccin wow na,1
110,outsid articl warn effect covid vaccin reproduct organ,0
111,wrong inform circul vaccin caus sever effect peopl fast fact risk,-1
112,bpom reveal effect sinopharm s covid 19 vaccin,0
113,effect sinopharm s covid 19 vaccin bpom say toler download,0
114,sinopharm vaccin effect headach muscl ach diarrhea sinopharm covid 19 vaccin given,0
115,effect sinopharm s covid 19 vaccin,0
116,base clinic trial unit arab emir countri efficaci sinopharm vaccin 78 percent,-1
117,effect rare report,1
118,adrianrahman honest covid 19 choos vaccin want 2 3 year peopl,1
119,aefi financ fulli born govern pay attent enci,0
120,risk covid 19 greater effect vaccin,1
121,effect covid 19 vaccin sever vaksinpuspemulihanri,0
122,covid vaccin arm pain headach common effect accord research,-1
123,argu reason got prank,0
124,make peopl afraid vaccin think s better vaccin vaccin necessarili immun,-1
125,alright mas don t listen peopl insult amp condescend mas focus 1 long term effect,-1
126,type covid 19 vaccin nation vaccin program ensur safe efficaci minim,1
127,covid vaccin arm pain headach common effect accord research research,-1
128,right long term effect vaccin non exist p,1
129,effect psbb virus exist eid monkey dog chicken,-1
130,british enthusiasm astrazeneca s covid 19 vaccin wane past month mark high,-1
131,effect vaccin like scare,0
132,prais god final got opportun dose vaccin today effect,0
133,fact peopl suspect effect necessarili danger s vaccin actual safe,1
134,advers event post immun aefi symptom usual occur vaccin immun go,-1
135,said proof concept vaccin indic,0
136,effect covid 19 vaccin differ dose,0
137,heard news indian friend mother die effect covid vaccin news make,0
138,effect pregnant women covid 19 vaccin doc,1
139,environ parent got covid vaccin thank god symptom r,0
140,moot covid vaccin want ask effect dizzi nausea,0
141,govern ensur covid 19 vaccin minim effect,0
142,recommend internist blood clot effect covid 19 vaccin astrazeneca,0
143,s okay long covid effect mother said co worker covid,1
144,latest news govern ensur covid 19 vaccin minim effect,1
145,follow tip minim effect covid 19 vaccin adaradioplus,0
146,countri studi effect covid vaccin reopen school mbulet,0
147,erectil dysfunct lymphocytosi link effect covid 19 vaccin hmm right,1
148,know differ vaccin effect covid 19 symptom,0
149,reaction occur covid 19 vaccin vaccin form reaction,0
150,type covid 19 vaccin nation vaccin program ensur safe efficaci minim effect,1
151,list effect caus inject covid 19 vaccin potenti grow latest develop guess,1
152,isra studi examin alleg cardiac inflamm effect recipi pfizer s covid 19 vaccin,-1
153,recogn differ vaccin effect covid 19 symptom get b vaccin,0
154,95 miscarriag report vaccin advers effect report system vaer follow covid vaccin,0
155,covid 19 vaccin circul mrna moderna pfizer dna johnson johnson janssen caus,0
156,want talk effect covid 19 vaccin s clear effect vari person person effect feel bodi,1
157,thank god today 25 4 got turn covid 19 vaccin stage 1 second stage vaccin carri,0
158,wara prove current covid set india declar covid 19 virus,0
159,govern covid 19 vaccin minim effect jokowilawanpandemi,0
160,govern ensur covid 19 vaccin minim effect effect found public ask,0
161,vaccin effect found govern ask public report public health facil,0
162,govern ensur covid 19 vaccin minim effect fight pandem,0
163,govern ensur covid 19 vaccin minim effect vaccin found effect govern ask,0
164,kerta hudhi koko28 thing caus,0
165,honest covid vaccin effect bodi achi sore like cold,0
166,know long hungri effect covid vaccin vaccin saturday today feel hungri,-1
167,vaccin effect prevent covid vaccin requir isn t virus,0
168,serious nanya fren kelen covid vaccin effect,-1
169,parno similar sneez cough includ effect left mother covid vaccin,0
170,daili covid updat 31 2021 1 indonesian activ case 100 thousand 2 malaysia lockdown panic buy 3 va,0
171,12 effect vaccin result batu health offic covid19v covid vaksinasicovid19 vaksin vaccincovid,0
172,happen husband s friend fever vaccin 38 5 request permiss,0
173,case vaccin twice found infect covid general asymptomat,1
174,recogn effect give covid 19 virus vaccin bodi,0
175,recogn effect give covid 19 virus vaccin bodi peopl indonesia get,0
176,yes read news mr s confess media posit covid,0
177,689 peopl report negat reaction vaccin komna kipi 228 secur co,0
178,covid 19 hoax moderna vaccin contain sm 102 tip prevent vaccin effect,0
179,vaccin guarante expos covid reduc sever effect covid,0
180,emerg effect covid 19 vaccin indic immun system work react vaccin work,0
181,recogn effect covid 19 vaccin astrazeneca possibl effect v,0
182,f2 far doctor explain content effect fucksin s turn disabl,1
183,origin guy covid vaccin long time magnet effect strong guy,1
184,core new fact effect covid 19 vaccin compani,1
185,minist health dr terawan agus putranto believ nusantara vaccin end covid 19 pandem d,0
186,let s peek composit covid vaccin indonesia magnet effect vaccin vaccin vaksinasicovid19,0
187,get 2nd dose covid vaccin effect twitch left eye,0
188,incid advers reaction effect covid 19 vaccin china 11 86 dose 100 000 dose,0
189,despit number complaint effect govern number health author reaffirm,-1
190,daili covid updat 29 2021 1 near 50 adult vaccin indonesia 2 vaccin m,1
191,sar cov 2 common call covid pandem zoonot diseas spread time wuhan,-1
192,doctor countri larg contain don t break major,1
193,effect covid 19 vaccin pregnant women latest studi result,1
194,isnainmala don t know caus effect found,0
195,fact check pfizer vaccin hoax caus danger effect physic contact pfizer s covid 19 vaccin,0
196,problem covid 19 vaccin elder limit effect vaccin effect,0
197,turn report covid 19 vaccin aefi indonesia requir name patient s father mother look like fit ki format,1
198,smntr az circul affix vaccin caus effect fever pain best u,1
199,moderna announc tuesday covid 19 vaccin safe effect prevent,1
200,yogya covid 19 task forc say report effect astrazeneca vaccin,0
201,astrazeneca type covid 19 vaccin citi yogyakarta friday 21 5 avail,0
202,long effect covid 19 vaccin inject check follow suaragrafi,-1
203,aureli moereman reveal effect feel,0
204,info dynam sinopharm vaccin type covid 19 vaccin g,0
205,observ wagroup come surpris effect covid 19 vaccin,0
206,astrazeneca vaccin safe effect protect peopl risk covid 19 includ ri,1
207,effect stronger said busi die vaccin,0
208,astrazeneca vaccin safe effect protect peopl risk covid 19 includ risk k,1
209,astrazeneca vaccin safe effect protect peopl risk covid 19 includ risk c,1
210,guess year covid vaccin certif year sure s free,1
211,overcom effect covid 19 vaccin inject follow way tempogaya,0
212,benefit vaccin handl covid 19 greater risk effect lead,1
213,invest effect covid 19 vaccin astrazeneca,0
214,benefit vaccin treat covid 19 outweigh risk effect lead,0
215,mother sick covid vaccin vaccin healthi vaccin effect,-1
216,benefit vaccin deal covid 19 outweigh risk effect result,0
