,data
0,effect vaccin covid 19 1 sleep night amp second 2 night night
1,mostpop short vaccin felt littl pain arm head felt heavi
2,caus emerg covid 19 vaccin effect
3,min headach day goe away don t know effect covid 19 vaccin saturday
4,effect 23 peopl die inject covid vaccin
5,peat laugh chat friend bubbl inspir hidayah magazin
6,vaksincovid19 effectvaksin vaksincorona vaksingrati vaksinmandiri short
7,popular 1 million peopl receiv covid 19 vaccin 42 case effect effect
8,covid arm effect corona virus vaccin attack skin tribun batam corona korona
9,expert effect covid 19 vaccin japan
10,covid arm fact effect covid 19 vaccin danger
11,total 200 trader simpl market bandung citi began undergo covid 19 vaccin saturday 27 2 2021
12,sinovac covid 19 vaccin effect recipi feel vaccin inject
13,news effect vaccin plus phobia needl think twice get vaccin
14,know effect covid 19 vaccin name covid arm overcom
15,covid vaccin trend come year singl dose vaccin store normal refriger temperatur need
16,peopl experi mild effect covid 19 vaccin overcom expert suggest
17,jakarta dozen journalist report hospit inject covid 19 vaccin said experienc
18,bewar effect kipi covid 19 vaccin like health
19,covid 19 vaccin inject friday media crew observ felt complaint effect
20,peopl worri effect covid vaccin ve covid vaccin 2 time b aka
21,guy vaccin covid feel effect need enlighten
22,unlik vaccin covid 19 vaccin relat new afraid inject
23,pfizer vaccin effect covid 19 survivor chill
24,effect pfizer vaccin covid 19 survivor chill
25,covid 19 vaccin trigger swollen lymph node arm similar symptom cancer
26,short vaccin felt littl pain arm head felt heavi nausea think
27,nyinyir er ask presid amp offici told guinea pig covid vaccin fear
28,9 day stage 1 covid vaccin thank god effect vaccin
29,indonesia countri tri rise effect covid 19 pandem don t forget
30,riaunew vaccin proven caus effect mr jokowi vaccin popular
31,husband finish covid vaccin 10 morn afternoon home work vaccin effect felt
32,hoak covid 19 vaccin effect appear check expert explan
33,ministri health deni report dozen journalist spread particip covid 19 vaccin admit earli
34,explan vaccin effect covid 19 vaccin issu contain chip fact check
35,explan vaccin effect covid 19 vaccin issu contain chip
36,video effect covid 19 vaccin disappear maximum 2 day
37,effect covid 19 vaccin bodi feel covid arm danger explan
38,video effect covid 19 vaccin disappear 2 day maximum head komna kipi hindra irawan said effect
39,covid 19 vaccin caus covid arm effect danger skin covid
40,asn purwakarta dizzi vomit inject covid 19 vaccin vaccin effect
41,effect covid vaccin s sane stress
42,hoax men s face swollen effect moderna covid 19 vaccin
43,clinic symptom indic unfavor effect allow home activ
44,undergo vaccin peopl experi effect fever t
45,covid 19 vaccin actual caus effect call covid arm covid arm
46,effect receiv covid 19 vaccin sign immun system work
47,look kind effect need support covid 19 vaccin compar nasik
48,explan effect covid 19 vaccin forgot ask yesterday base masl look articl
49,covid ci vaccin hope effect
50,far effect stage covid vaccin mother receiv sleepi see sleep 7 pm
51,expert covid 19 vaccin safe elder 80 year old effect
52,photo men s swollen face claim effect moderna s covid 19 vaccin fact check
53,photo men s swollen face claim effect moderna s covid 19 vaccin check fact
54,pfizer learn effect covid 19 vaccin dose vaccin virus corona covid 19 pfizer biontech
55,tf vaccin covid effect inject
57,report moder sever effect felt particip get vaccin
58,kli journalist inject covid 19 vaccin effect
59,kli journalist inject covid 19 vaccin effect vaccin start 08 00 wib particip
60,pain fever reliev reduc effect vaccin effect effect
61,10 38 beritasonora painkil fever reduc effect vaccin effect
62,accord bahrul explan govern effect covid 19 vaccin diff
63,californiacoronavirus mutat immun covid 19 vaccin danger said english variant
64,studi 40 000 healthcar worker receiv pfizer vaccin found peopl
65,effect vaccin inject suarjaya 3 time lighter expos covid
66,expert convinc covid 19 vaccin effect heavi tempogaya
67,fact check photo men s swollen face claim effect moderna s covid 19 vaccin fact check
68,expert itagi confirm effect covid 19 vaccin mild treat
69,effect vaccin like general don t run school right
70,effect covid vaccin experienc friend sleepi auhhh s vaccin effect make sleepi sluggish hope m fine
71,effect covid vaccin 10 hour think 1 easili hungri thirsti eat drink water
72,effect second covid vaccin normal time s hot cold s nausea
73,acquaint peopl vaccin covid mild effect k
74,tuesday intern medicin doctor didn t practic posit covid tuesday ve iv ve
75,itagi sinovac astrazeneca effect opinion mild goe hospit die
76,pati accord schedul covid 19 vaccin program soon target resid
77,covid 19 vaccin usual general symptom effect appear con
78,dr steaven spokesman covid 19 task forc north sulawesi explain eua astrazeneca vaccin actual state
79,inject covid 19 vaccin man experi goosebump
80,effect covid 19 vaccin elder don t ignor
81,explan effect covid 19 vaccin elder schedul april 14 2021 balikpapan
82,m scare covid 19 vaccin ask afraid mening vaccin don t doesn t
83,effect second covid vaccin fun right
84,final got second dose covid 19 vaccin alhamdulillah s list effect far
85,effect covid 19 vaccin explan fitphonel 15 00 wib stayfitforlif
86,moscow vaccin covid 19 dose sunday 28 3 russian presid vladimir putin admit have s
87,brother actual smart s lazi read post funni s okay b
88,far implement covid 19 vaccin gone smooth problem caus effect vaccin
89,effect normal effect covid 19 vaccin impact
90,effect astrazeneca s covid 19 vaccin indonesia
91,covid vaccin worri effect vaccin father s bodi turn m weak hahahaha
92,administr astrazeneca covid 19 vaccin north sulawesi temporarili suspend report effect
93,come effect covid vaccin indonesia weird huh suggest
94,astrazeneca s covid 19 vaccin benefit effect itagi call astrazen vaccin
95,covid vaccin effect review limp bodi weak muscl weak helpless sleepi appar effect
96,effect covid vaccin said horni s hilari
97,don t feel effect covid 19 vaccin mean vaccin doesn t work
98,anita explain vaccin circul test process greater benefit
99,feel effect covid 19 vaccin doesn t mean vaccin doesn t work s explan
100,share inform effect covid 19 vaccin
101,idntimesinfograph effect solv read articl
102,idntimesinfograph turn covid 19 vaccin stay disciplin health protocol
103,receiv inject covid 19 vaccin natur feel effect effect read selen
104,kremlin vladimir putin refus appear camera covid 19 vaccin alleg have effect
105,jakarta spokesperson covid 19 vaccin ministri health siti nadia tarmizi said
106,accord bodi respond vaccin fever ach weak
107,ladi explain sore effect vaccin normal etc mother said knew
108,read buibu kulwap group morn make annoy 1 mother covid vaccin schedul offic afraid ef
109,alhamdulillah elder enthusiast vaccin program start
110,effect inject time sore mening umrah week covid vaccin wow na
111,outsid articl warn effect covid vaccin reproduct organ
112,wrong inform circul vaccin caus sever effect peopl fast fact risk
113,bpom reveal effect sinopharm s covid 19 vaccin
114,effect sinopharm s covid 19 vaccin bpom say toler download
115,sinopharm vaccin effect headach muscl ach diarrhea sinopharm covid 19 vaccin given
116,effect sinopharm s covid 19 vaccin
117,base clinic trial unit arab emir countri efficaci sinopharm vaccin 78 percent
118,effect rare report
119,adrianrahman honest covid 19 choos vaccin want 2 3 year peopl
120,aefi financ fulli born govern pay attent enci
121,risk covid 19 greater effect vaccin
122,effect covid 19 vaccin sever vaksinpuspemulihanri
123,covid vaccin arm pain headach common effect accord research
124,argu reason got prank
125,make peopl afraid vaccin think s better vaccin vaccin necessarili immun
126,alright mas don t listen peopl insult amp condescend mas focus 1 long term effect
127,type covid 19 vaccin nation vaccin program ensur safe efficaci minim
128,covid vaccin arm pain headach common effect accord research research
129,right long term effect vaccin non exist p
130,effect psbb virus exist eid monkey dog chicken
131,british enthusiasm astrazeneca s covid 19 vaccin wane past month mark high
132,effect vaccin like scare
133,prais god final got opportun dose vaccin today effect
134,fact peopl suspect effect necessarili danger s vaccin actual safe
135,advers event post immun aefi symptom usual occur vaccin immun go
136,said proof concept vaccin indic
137,effect covid 19 vaccin differ dose
138,heard news indian friend mother die effect covid vaccin news make
139,effect pregnant women covid 19 vaccin doc
140,environ parent got covid vaccin thank god symptom r
141,moot covid vaccin want ask effect dizzi nausea
142,govern ensur covid 19 vaccin minim effect
143,recommend internist blood clot effect covid 19 vaccin astrazeneca
144,s okay long covid effect mother said co worker covid
145,latest news govern ensur covid 19 vaccin minim effect
146,follow tip minim effect covid 19 vaccin adaradioplus
147,countri studi effect covid vaccin reopen school mbulet
148,erectil dysfunct lymphocytosi link effect covid 19 vaccin hmm right
149,know differ vaccin effect covid 19 symptom
150,reaction occur covid 19 vaccin vaccin form reaction
