,data
0,"Two effects after being vaccinated against Covid-19:

1. Sleep well on the first night &amp; second.
2. On the first night, all night… https://t.co/PWjIq62Bj6"
1,"#mostpop ""Shortly after the vaccination, I felt a little pain in my arm and my head felt very heavy with… https://t.co/TGjheuIoQe"
2,Causes of the emergence of Covid-19 Vaccine Side Effects https://t.co/etQlCNZije https://t.co/5eAs9WjQgu
3,"@balakarsa Min if I have a headache for two days, it goes away, I don't know the effect of the covid 19 vaccine last Saturday.."
4,"There are Side Effects, 23 People Died After Injecting the Covid Vaccine https://t.co/n9GYBubgJa"
5,"@hydeverse What a peat.
But I laughed when you chatted with your friends last bubble. What was his inspiration for Hidayah magazine… https://t.co/WbOaq1zMM7"
6,"https://t.co/o7tMQpMhT1

#vaksincovid19 #effectvaksin #vaksincorona #vaksingratis #vaksinmandiri #shorts… https://t.co/5fwsxvzk20"
7,"[Most Popular] Of the 1 million people who received the Covid-19 vaccine, there were 42 cases with serious side effects. The effect is… https://t.co/b8h5cI56Cl"
8,#What is Covid Arm? Side Effects of Corona Virus Vaccines That Attack the Skin - Tribun Batam #Corona #Korona
9,Expert: No Serious Side Effects of Covid-19 Vaccine In Japan https://t.co/Tgn5aeXp9V
10,"Covid Arm Facts, Side Effects After the Covid-19 Vaccine, Is It Dangerous? https://t.co/gGvcA0r0vH via @tribunjualbeli"
11,"Covid Arm Facts, Side Effects After the Covid-19 Vaccine, Is It Dangerous? https://t.co/76GZ8r9WjQ via @tribunjualbeli"
12,"A total of 200 traders at the Simple Market, Bandung City began to undergo the Covid-19 vaccination, Saturday (27/2/2021).… https://t.co/kuE8upc8f3"
13,"Sinovac Covid-19 Vaccine Side Effects, Recipients Will Feel This After Vaccine Injected

https://t.co/jQ7LCs6gc3… https://t.co/Iwe2s9r1bI"
14,The news about the side effects of vaccines plus the phobia of needles made me think twice about getting vaccinated.… https://t.co/lexDmzeNXe
15,"Know the Side Effects of the Covid-19 Vaccine Named Covid Arm, What is it and How to Overcome It?

https://t.co/7S8eHVJ1J9"
16,"Covid vaccine trends in the coming years:
- single dose vaccination.
- can be stored at normal refrigerator temperature without the need… https://t.co/jD4V6sYlhQ"
17,"Many people will experience mild side effects after the COVID-19 vaccine. To overcome this, experts suggest… https://t.co/9UTM4whvHU"
18,JAKARTA - Dozens of journalists are reported to have been hospitalized after being injected with the covid 19 vaccine. They are said to have experienced… https://t.co/PSfVNga9gZ
19,"Beware of the Side Effects of the 'KIPI' COVID-19 Vaccine, What Is It Like? #Health https://t.co/HYJLsZMWEA https://t.co/mGlPppS8SJ"
20,"""After the Covid-19 vaccine injection on Friday, there were five media crews who were observed because they felt complaints about the effects of… https://t.co/i1zmvIoJsy"
21,"People are still worrying about the side effects of the covid vaccine even though I've had the covid vaccine 2 times but only B, aka… https://t.co/WC4gp3Ahd9"
22,"Have you guys ever been vaccinated against covid? How does it feel? Are there any side effects?
Please need enlightenment… https://t.co/kWc7NH2MWg"
23,"Many people will experience mild side effects after the COVID-19 vaccine. To overcome this, experts suggest… https://t.co/4urT4nhhJY"
24,"Unlike other vaccines, the COVID-19 vaccine is relatively new, so many are afraid before being injected. Then… https://t.co/mqiIkrEGLq"
25,"Pfizer Vaccine Side Effects for Covid-19 Survivors, One of them is Chills – https://t.co/KRhJMc4EDw –… https://t.co/ae8c6Fb0JT"
26,"Side Effects of the Pfizer Vaccine for Covid-19 Survivors, One of them Chills – https://t.co/KRhJMc4EDw https://t.co/rISzEY8vEo"
27,"The Covid-19 vaccine can also trigger swollen lymph nodes under the arm, which is similar to the symptoms of cancer… https://t.co/1CWc89nXhL"
28,"""Shortly after the vaccination, I felt a little pain in my arm and my head felt very heavy with nausea. Think… https://t.co/wE83HBqZ1Y"
29,"@thedufresne first ""the nyinyir-ers"" asked the president &amp; officials told me to be a guinea pig for the covid vaccine for fear of… https://t.co/aRBtktQrXz"
30,"9 days after the stage 1 covid vaccine, thank God there was no effect. No, no on vaccines."
31,"Not only Indonesia, but all countries are trying to rise from the effects of this Covid-19 pandemic. So don't forget... https://t.co/lR56RFoLph"
32,"Not only Indonesia, but all countries are trying to rise from the effects of this Covid-19 pandemic. So don't forget... https://t.co/lbmJVM64BT"
33,"@ardi_riauNew the vaccine has been proven not to cause serious effects, Mr. Jokowi has been vaccinated first and we are popular... https://t.co/1ZYVul0mlk"
34,"Husband, finished the covid vaccine at 10 in the morning. Afternoon home from work..

How about vaccines? Is there an effect that is felt or not… https://t.co/hH543XVFGi"
35,"Hoaks of Covid-19 Vaccine Side Effects Appear, Check Out Expert Explanations https://t.co/ixkf8Cytbq"
36,Ministry of Health Denies Reports of Dozens of Journalists Spread After Participating in Covid-19 Vaccination: He admitted that there were indeed five early… https://t.co/Yg2LaO0fTf
37,Explanation of Vaccination Side Effects and Covid-19 Vaccine Issues Contains Chips - Fact Check https://t.co/0HpcaktMKt https://t.co/7SERrgnodj
38,Explanation of Vaccination Side Effects and Covid-19 Vaccine Issues Contains Chip https://t.co/HjtYJX2JEi
39,VIDEO: The Side Effects of the Covid-19 Vaccine Will Disappear in Maximum 2 Days https://t.co/W9VLktYBdF https://t.co/ySbaKAhNxF
40,"Side Effects of the Covid-19 Vaccine, The Body Can Feel the Covid Arm, Is It Dangerous? This is the explanation… https://t.co/RFaATU7VvW"
41,"VIDEO: The Side Effects of the Covid-19 Vaccine Will Disappear in 2 Days Maximum: The Head of Komnas KIPI, Hindra Irawan said the effect… https://t.co/0ld38EVOy4"
42,"#Covid-19 Vaccine Can Cause Covid Arm Side Effects, Is It Dangerous for the Skin? - https://t.co/LvPthhL83H #Covid… https://t.co/82XH9p9KoB"
43,"An ASN in Purwakarta Dizziness and Vomiting After Injection of the Covid-19 Vaccine, Vaccine Effect? https://t.co/aFXb8kzOuE"
44,"@RamliRizal The effect of the covid vaccine.

It's sane to be stressed.!"
45,[Hoax] Two Men's Faces Swollen Due to Side Effects of Moderna Covid-19 Vaccine https://t.co/0AkGFEsN0B via @DetaxId
46,"there are no clinical symptoms that indicate unfavorable side effects, then they are allowed to go home. Activities i… https://t.co/MJaN7gKLvH"
47,"After undergoing vaccination, some people may experience side effects such as fever. what if t… https://t.co/nRuaNiaUDS"
48,"The Covid-19 vaccine can actually cause an effect called the ""covid arm"". What is covid arm and how do you… https://t.co/yJnWV1pBfT"
49,"There are no side effects after receiving the Covid-19 vaccine, a sign that the immune system is not working? https://t.co/Kov8LW2Iq4"
50,@rizarilrizad Look at what kind of effect... Is there any need for supporters of the Covid-19 vaccine to compare it with Nasik... is it really?
51,"Is there an explanation for the effects of the COVID-19 vaccine?
I forgot to ask yesterday.

*base! Masle looking for articles"
52,"@InfiniteLjong Covid ci vaccine?
I hope there are no side effects."
53,"So far, the effect of the first stage of the covid vaccine that my mother has received is... sleepy. Seeing me sleeping since 7 pm… https://t.co/p9VWUncmG6"
54,"Expert: Covid-19 Vaccine Safe for Elderly, 80 Years Old Without Side Effects https://t.co/IFZdRxnIFP"
55,"Photo of Two Men's Swollen Faces Claimed to be Side Effects of Moderna's Covid-19 Vaccine? This is a fact check

https://t.co/EMQDlEOi9F"
56,Photo of Two Men's Swollen Faces Claimed to be Side Effects of Moderna's Covid-19 Vaccine? Check the Facts https://t.co/OIlCGuw9bk
57,Pfizer Learns The Effects Of The Third Covid-19 Vaccine Dose #Vaccin #Virus #Corona #Covid-19 #Pfizer #BioNTech https://t.co/xY4j8MRNfy
58,[tf] Has anyone been vaccinated against covid? What are the effects after the injection?
59,https://t.co/Ju5cdfE57u
60,"Until now, there have been no reports of moderate or severe effects felt by participants after getting the vaccine… https://t.co/GrTHnPxcJv"
61,"KLY Journalist Injected with Covid-19 Vaccine, No Side Effects https://t.co/3LdHsueHvs https://t.co/LX6aDQCbeM"
62,"KLY Journalist Injected with Covid-19 Vaccine, No Side Effects: Vaccination starts at 08.00 WIB. Participants must be… https://t.co/0CXWRhCigV"
63,"If pain and fever relievers can reduce the side effects of the vaccine, could there be an effect on the effectiveness of… https://t.co/M6cdD9lYJE"
64,"10.38 #BeritaSONORA - If painkillers and fever reduce the side effects of the vaccine, could there be an effect… https://t.co/PeGzCvTiCY"
65,"If pain and fever relievers can reduce the side effects of the vaccine, could there be an effect on the effectiveness of… https://t.co/3bCD0FALTq"
66,"According to Bahrul, there has been no explanation from the government regarding the side effects of the Covid-19 vaccination for the diff... https://t.co/zIw4QUAQv0"
67,"#CaliforniaCoronavirus#Mutating#Immunity#Covid-19 Vaccine#More Dangerous!

He said between the English variant and… https://t.co/FZJO11VYx4"
68,"A study of 40,000 healthcare workers who had received the Pfizer vaccine found that one in three people… https://t.co/XllQVObR9K"
69,"The Effect of Vaccine Injection, Suarjaya: 3 Times Lighter When Exposed to Covid https://t.co/trvHyoYVWH"
70,Experts Convince The Covid-19 Vaccine Side Effects Are Not Heavy https://t.co/FPtU7KUHVh #TempoGaya
71,[Fact Check] Photo of Two Men's Swollen Faces Claimed to be a Side Effect of Moderna's Covid-19 Vaccine? This is a fact check https://t.co/Toqwa84GRE
72,Experts at ITAGI confirm that the side effects of the COVID-19 vaccine are mild. No one has been treated in… https://t.co/6FuNWtjLX6
73,"@YuliaChiara The side effects of vaccines are like that in general! Don't you ever run when you were in school, right? https://t.co/Mti7ZqVmLH"
74,"Some of the effects of the covid vaccine experienced by friends: sleepiness.

Auhhh, it's not just the vaccine effect that makes me sleepy and sluggish.

I hope I'm fine."
75,"Effects after the covid vaccine +-10 hours (which I think):
1. Easily hungry and thirsty (often eat and drink water as much as… https://t.co/uDmRGg0264"
76,"The effect of the second covid vaccine is normal, the first time it's hot and cold, it's the same with nausea and then"
77,"Some of my acquaintances, some people have been vaccinated against covid and they are doing well, but there are some that have mild side effects. k… https://t.co/xeP1hUN2HV"
78,"Last Tuesday, my internal medicine doctor didn't practice because he was positive for covid. This Tuesday, I've been off the IV and I've… https://t.co/xQ0OKWEjdP"
79,ITAGI: Sinovac and AstraZeneca side effects in my opinion are quite mild. No one goes to the hospital / until they die… https://t.co/wITDcBNUoq
80,"Pati, https://t.co/F73HKt1Ygv - According to schedule, the Covid-19 vaccination program will soon be targeting residents… https://t.co/BTAISCncX6"
81,"So... after you get the Covid-19 vaccine, usually some general symptoms or side effects will appear.

Con… https://t.co/ydUfqV7oR8"
82,"Dr Steaven, a spokesman for the COVID-19 task force in North Sulawesi, explained that in the EUA of the AstraZeneca vaccine, it has actually been stated that… https://t.co/992Mc0deFW"
83,Experts at ITAGI confirm that the side effects of the COVID-19 vaccine are mild. No one has been treated in… https://t.co/QvUufE2vlm
84,"Injected with COVID-19 Vaccine, This Man Experiences Goosebumps https://t.co/r8HTnbbjAm"
85,"Side Effects of the Covid-19 Vaccine on the Elderly, Don't Ignore!

https://t.co/1SZNsuvNZC"
86,"Explanation of the Side Effects of the Covid-19 Vaccine on the Elderly and Schedule for April 14, 2021 in Balikpapan… https://t.co/DKdIcL0oUt"
87,"I'm really scared of the Covid-19 vaccine. Then I asked, were you afraid of the Meningitis vaccine before? Don't say anything, because it doesn't… https://t.co/Nuz4LoPQLY"
88,"The side effects of the second covid vaccine are not fun, right?"
89,I finally got the second dose of the Covid-19 vaccine. Alhamdulillah. Here's my list of side effects so far… https://t.co/bWouSvPqJq
90,What are the side effects of the COVID-19 vaccine? see the explanation on #FitPhoneLive at 15.00 WIB #stayfitforlife… https://t.co/x2s1iXxTVY
91,"MOSCOW - After being vaccinated against Covid-19 for the first dose on Sunday (28/3), Russian President Vladimir Putin admitted to having s… https://t.co/0EmC4tVvdO"
92,@kaliyuga49 This brother is actually smart but he's just lazy to read it 😂 so his posts are always funny. It's okay b… https://t.co/GPejNvafm8
93,"So far, the implementation of the Covid-19 vaccination has also gone smoothly and there have been no problems caused by the side effects of the vaccine."
94,"@YuliaChiara this side effect is a normal side effect, not just the Covid-19 vaccine either. but the impact is… https://t.co/z5eTMltCXA"
95,These are the Side Effects of AstraZeneca's Covid-19 Vaccine in Indonesia https://t.co/jVMpHt5CTa
96,"before the covid vaccine, I was already worried about the effect of the vaccine on my father's body.. it turns out that I'm the weak one.. hahahaha"
97,The administration of the AstraZeneca COVID-19 vaccine in North Sulawesi was temporarily suspended due to reports of various side effects… https://t.co/0cTN4shkCB
98,"How come the side effects of the Covid vaccine in Indonesia are weird, huh? Suggestion? https://t.co/orxBSwGVem"
99,"""AstraZeneca's Covid-19 vaccine has more benefits than side effects.""

ITAGI calls AstraZen vaccine… https://t.co/cp5zO7OqrY"
100,"Covid vaccine side effects review:
- limp body
- weak muscles
- weak helpless
- sleepy
apparently this is the effect on… https://t.co/bd3ZUmUks7"
101,The side effects of the covid vaccine are said to make you horny.. that's hilarious
102,"Don't Feel The Side Effects Of The Covid-19 Vaccine, Does That Mean The Vaccine Doesn't Work? https://t.co/vPP5QjDrRJ"
103,Anita explained that a vaccine can be circulated if in the testing process it has greater benefits than… https://t.co/1Da9OCMSIf
104,"Not feeling the side effects after the COVID-19 vaccination doesn't mean the vaccine doesn't work, here's the explanation https://t.co/JcL8kLuTJ0"
105,Here we share information regarding the side effects of the Covid-19 Vaccine🌸 https://t.co/0CedRBGrJm
106,"#IDNTimesInfographic - So what are the side effects? And how to solve it?

Also read the full article… https://t.co/h2LgXPfwAP"
107,"#IDNTimesInfographic - Have you had your turn for the COVID-19 vaccination yet? If you have, stay disciplined with the health protocol… https://t.co/G8YKArpv44"
108,"After receiving an injection of the Covid-19 vaccine, it is natural to feel side effects. What are the side effects? Read selen… https://t.co/f7mHH0Rxk0"
109,"Kremlin Vladimir Putin Refuses to Appear in Front of Cameras After Covid-19 Vaccine, Allegedly Having Side Effects https://t.co/8pTWKbc8Uo"
110,"After receiving an injection of the Covid-19 vaccine, it is natural to feel side effects. What are the side effects? Read selen… https://t.co/DF7Bv9PL1Y"
111,"JAKARTA, https://t.co/iNilS4MV24 - Spokesperson for Covid-19 Vaccination Ministry of Health Siti Nadia Tarmizi said… https://t.co/8pXO78LFjJ"
112,"According to him, the body responds to the vaccine if there is a fever, aches or weakness. https://t.co/1Wu25JI3hZ"
113,"Then the other lady explained, the sore effect after the vaccine is normal, etc.
then her mother said she knew that.
the one with… https://t.co/1Y3PWba5Ll"
114,"reading the buibu kulwap group in the morning makes me annoyed.
there is 1 mother, there is a covid vaccine schedule from the office, but she is afraid of ef… https://t.co/Dh2RFEQxBX"
115,"“Alhamdulillah, the elderly are now more enthusiastic than when the vaccination program started. Moreover, they are… https://t.co/Vm25q6tfdz"
116,"Why is the effect of the injection this time sore more than meningitis when you go for umrah

Two weeks until the covid vaccine
Wow na… https://t.co/2fa2SPtHdG"
117,@putihhsalju Could be. There is an outside article that warns of the side effects of the covid vaccine on the reproductive organs... https://t.co/HDDH7mWwyl
118,"WRONG
There is information circulating that the vaccine will cause more severe side effects for people who are fasting
️
FACT,
No Risk… https://t.co/sfSf26ClPV"
119,"BPOM reveals the side effects of Sinopharm's Covid-19 vaccine
https://t.co/5P8hSTdKiQ https://t.co/nVNK1jtekl"
120,"This is a side effect of Sinopharm's Covid-19 vaccine, BPOM says it can still be tolerated

https://t.co/nvjgxlYrTr

Download a… https://t.co/Pyu8nno4oJ"
121,"Sinopharm Vaccine Side Effects: Headache, Muscle Aches and Diarrhea: Sinopharm Covid-19 Vaccine will be given to… https://t.co/W1hdeUo9C1"
122,These are the Side Effects of Sinopharm's Covid-19 Vaccine https://t.co/xa2JPwERpl
123,"Based on clinical trials in the United Arab Emirates and other countries, the efficacy of the Sinopharm vaccine is 78 percent.
https://t.co/AJD7UQmiP7"
124,Side effects are very rarely reported https://t.co/EIyRtmoz5f
125,"@_AdrianRahman Honestly...
Me and covid 19 choose not to be vaccinated.
I want to see in the next 2-3 years the people who are in… https://t.co/yiYkewjgku"
126,https://t.co/afAyFApX1U AEFI financing should be fully borne by the government. Please pay attention @mrs_enci @diskesjabar… https://t.co/17RmgU6mI5
127,The risk of COVID-19 is greater than the side effects of the vaccine https://t.co/cZ1nxLELRa
128,The risk of COVID-19 is greater than the side effects of the vaccine https://t.co/V3mMh4gPPi
129,"The side effects of the Covid-19 vaccine are not severe
#vaksinpuspemulihanri https://t.co/cBubjFc6Ye"
130,"Covid vaccine: Arm pain and headaches are 'most common side effect', according to research… https://t.co/y8vtfM2Opo"
131,"@PutraErlangga_ But even that can be argued with this reason. Anyone else got pranked again..
https://t.co/WLTHb6hCyk https://t.co/WjqoivMUg7"
132,"Making people afraid of being vaccinated, many think it's better not to get vaccinated because being vaccinated is not necessarily immune to… https://t.co/eEHN2El9Uc"
